no,code,name,industry_code,industry,shares,capital_stock,par_value
1523,17000,ShinwonConst,64101,Building Construction,11668027,60989616000,5000
161,17040,KWANG MYUNG ELEC,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,43337615,21668807500,500
312,17180,MYUNGMOON PHARM,32102,Manufacture of Medicaments,33953454,16976727000,500
2024,17250,Interm,32605,Manufacture of Electronic Video and Audio Equipment,21045467,10522733500,500
526,17370,WOOSHIN SYSTEMS,32902,Manufacture of Special-Purpose Machinery,18314054,9157027000,500
405,17390,SEOUL CTY GAS,43502,Manufacture of Gas Distribution of Gaseous Fuel Through Mains,5000000,35000000000,5000
1393,17480,SAMSCO,32401,Manufacture of Basic Iron and Steel,15702890,8551445000,500
1445,17510,SemyungElec,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,15246000,7623000000,500
435,17550,SOOSAN HVY IND,32902,Manufacture of Special-Purpose Machinery,62399130,31199565000,500
1073,17650,DaelimPaper,31709,Manufacture of Other Paper and Paperboard Products,9000000,4500000000,500
127,17670,SK TELECOM,106102,Telecommunications,218833144,30492715900,100
799,17800,HYUNDAI ELEV,32901,Manufacture of General Purpose Machinery,39092385,212235955000,5000
696,17810,Pulmuone Corporate,31007,Manufacture of Other Food Products,38120542,19060271000,500
2428,17890,KAI,32004,Manufacture of Other Chemical Products,21605760,10802880000,500
162,17900,AUK,32601,Manufacture of Semiconductor,57943763,28971881500,500
25,17940,E1,74607,Other Specialized Wholesale,6860000,34300000000,5000
728,17960,HANKUK CARBON,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,43960757,21980378500,500
1920,18000,UNISON,32901,Manufacture of General Purpose Machinery,126298006,63149003000,500
2120,18120,JrDistiller,31101,Manufacture of Alcoholic Beverages,6621120,3533010000,500
481,18250,AEKYUNG INDUSTRIAL,32004,Manufacture of Other Chemical Products,26409935,26409935000,1000
365,18260,SAMSUNG SDS,106201,Computer programming System Integration and Management Services,77377800,38688900000,500
1333,18290,VT,32004,Manufacture of Other Chemical Products,35798007,17899003500,500
1371,18310,SAMMOK S-FORM,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,14700000,7350000000,500
605,18470,CHOIL ALUMINUM,32402,Manufacture of Basic Precious and Non-ferrous Metals,126631721,63315860500,500
269,18500,DONGWON METAL,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),46754933,23377466500,500
1875,18620,WOOGENEB&amp;G,32102,Manufacture of Medicaments,28889293,14444646500,500
114,18670,SK GAS,74607,Other Specialized Wholesale,9230244,46151220000,5000
1420,18680,SEOUL PHARMA,32102,Manufacture of Medicaments,11659319,5829659500,500
1288,18700,Barunson,74604,Wholesale of Household Goods,35119757,35119757000,1000
760,18880,Hanon Systems,32901,Manufacture of General Purpose Machinery,533800000,53380000000,100
1313,19010,VenueG,74701,Retail Sale in Non-Specialized Stores,48200000,24100000000,500
455,19170,SHINPOONG PHARM,32102,Manufacture of Medicaments,52984990,27592495000,500
679,19180,THN CORP,32809,Manufacture of Other Electrical Equipment,18000000,9000000000,500
1854,19210,YG-1,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,30573819,15286909500,500
422,19440,SeAH SPECIAL STEEL,32401,Manufacture of Basic Iron and Steel,8570000,42850000000,5000
706,19490,HITRON,32605,Manufacture of Electronic Video and Audio Equipment,27611224,13805612000,500
2038,19540,IljiTech,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),13513500,6756750000,500
923,19550,SBI Investment KOREA,116402,Trust and collective Investment Businesses,162066575,83533287500,500
1216,19570,Leaders Technology Investment,116402,Trust and collective Investment Businesses,52470040,26235020000,500
1784,19590,MVENTURE,116402,Trust and collective Investment Businesses,113966542,56983271000,500
993,19660,GLOBON,74608,Wholesale of Non-Specialized Goods,34790746,17395373000,500
204,19680,DAEKYO,168501,Primary Education,84702850,52064920000,500
1414,19770,SEOYON TOPMETAL,32902,Manufacture of Special-Purpose Machinery,11650000,5825000000,500
1656,19990,ENERTORK,32901,Manufacture of General Purpose Machinery,9756088,4878044000,500
745,20000,HANDSOME,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,24630000,12315000000,500
664,20120,KidariStudio,106301,Data Processing Hosting and Related activities; Web Portals,36990766,18495383000,500
297,20150,LOTTE ENERGY MATERIALS Corp,32602,Manufacture of Electronic Components,46110835,23055417500,500
1087,20180,DIC,106201,Computer programming System Integration and Management Services,38428915,19214457500,500
1069,20400,DaedongMetal,32403,Cast of Metals,3189166,3189166000,1000
475,20560,Asiana Airlines,85101,Passenger Air Transport,74411764,372058820000,5000
1503,20710,SIGONG TECH,137302,Specialized Design Services,20047970,10023985000,500
583,20760,ILJIN DISPLAY,32601,Manufacture of Semiconductor,51513741,25756870500,500
1105,21040,dhSteel,32401,Manufacture of Basic Iron and Steel,10852387,56383165000,5000
407,21050,SEOWON,32403,Cast of Metals,47474590,23737295000,500
1717,21080,Atinum Investment,116402,Trust and collective Investment Businesses,48000000,24000000000,500
656,21240,COWAY,199609,Other Personnal Service Activities n.e.c.,73799619,40662398000,500
896,21320,KCC,64101,Building Construction,21400000,107000000000,5000
2440,21650,CUBIC KOREA,32202,Manufacture of Plastic Products,16350563,8175281500,500
426,21820,SEWON PRECSN IND,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),10000000,5000000000,500
1249,21880,MASON CAPITAL,116409,Other Financial Intermediation,152184408,76092204000,500
2336,22100,POSCO DX,137201,Architectural Engineering and Related Technical Services,152034729,76017364500,500
944,22220,TKG AIKANG,32202,Manufacture of Plastic Products,51794579,25897289500,500
384,23000,SAMWONSTEEL,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),40000000,20000000000,500
92,23150,MHETHANOL,31101,Manufacture of Alcoholic Beverages,7378526,4596763000,500
2253,23160,TKCORP.,32401,Manufacture of Basic Iron and Steel,26500000,13250000000,500
724,23350,KECC,137201,Architectural Engineering and Related Technical Services,10950000,5475000000,500
1946,23410,EUGENE,32303,Manufacture of Cement Lime and Plaster and Its Products,77310863,38655431500,500
2067,23440,JSCO Holdings,32401,Manufacture of Basic Iron and Steel,51129354,25564677000,500
252,23450,DONGNAMCHEMICAL,32001,Manufacture of Basic Chemicals,3500000,3125564000,500
850,23460,CNH,116409,Other Financial Intermediation,37200000,93000000000,2500
296,23530,LOTTE SHOPPING,74701,Retail Sale in Non-Specialized Stores,28288755,141443775000,5000
202,23590,DAOU TECH,106301,Data Processing Hosting and Related activities; Web Portals,44866617,22433308500,500
1374,23600,SAMBO CORR,31701,Manufacture of Pulp Paper and Paperboard,16170000,8085000000,500
2438,23760,HKCapital,116409,Other Financial Intermediation,315609576,157804788000,500
2367,23770,PLAYWITH,105802,Software Development and Supply,8766820,4383410000,500
1140,23790,DongilSteel,32401,Manufacture of Basic Iron and Steel,16008325,8004162500,500
570,23800,INZI CONTROLS,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),15809197,7904598500,500
573,23810,INFAC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),10000000,5000000000,500
2350,23900,Pungguk Ethanol,31101,Manufacture of Alcoholic Beverages,12600000,6300000000,500
1104,23910,DaihanPharm,32102,Manufacture of Medicaments,6000000,3000000000,500
492,23960,SC ENGINEERING,64102,Heavy Construction,31431110,15715555000,500
2507,24060,Heungu,74607,Other Specialized Wholesale,15000000,1500000000,100
141,24070,WISCOM,32202,Manufacture of Plastic Products,15326438,7663219000,500
284,24090,DCM,32401,Manufacture of Basic Iron and Steel,11400000,6000000000,500
182,24110,IBK,116401,Banking and Savings Institutions,797425869,3987129345000,5000
893,24120,KBA,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),11500000,5750000000,500
730,24720,KOLMAR KOREA HOLDINGS,116409,Other Financial Intermediation,18384760,9288359500,500
2456,24740,HanilForging,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),31532546,15766273000,500
1933,24800,YOOSUNG T&amp;S,84902,Transit and Ground Passenger Transportation,37051812,18525906000,500
2008,24810,E.T.I,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,201999488,40399897600,200
1449,24830,SewonCorp,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),8350000,4175000000,500
892,24840,KBI METAL,32402,Manufacture of Basic Precious and Non-ferrous Metals,33952533,16976266500,500
875,24850,HLB innoVation,32602,Manufacture of Electronic Components,66507231,33253615500,500
2176,24880,KPF,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,20682798,10341399000,500
227,24890,DAEWON CHEM,32202,Manufacture of Plastic Products,41249152,20624576000,500
246,24900,DUCKYANG IND,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),32564980,16282490000,500
962,24910,Kyungchang,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),35819005,17909502500,500
918,24940,PNPOONGNYUN,74604,Wholesale of Household Goods,10000000,5000000000,500
1391,24950,SAMCHULY,74604,Wholesale of Household Goods,13273577,6636788500,500
68,25000,KPX CHEMICAL,32001,Manufacture of Basic Chemicals,4840000,24200000000,5000
1506,25320,Synopex,32602,Manufacture of Electronic Components,79511454,40188783500,500
857,25440,DHAUTOWARE,32605,Manufacture of Electronic Video and Audio Equipment,30781224,76953060000,2500
490,25530,SJMH,74502,Sale of Motor Vehicle Parts and Accessories,14934008,7467004000,500
714,25540,KOR ELEC TERM,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,10415000,5207500000,500
2427,25550,HanSun,32401,Manufacture of Basic Iron and Steel,23909198,12261127000,500
322,25560,MIRAE,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,30429770,15214885000,500
593,25620,Jayjun Cosmetic,32004,Manufacture of Other Chemical Products,4484846,2242423000,500
756,25750,HomeDeco,31601,Sawmilling and Planing of Wood,80565149,83765149000,1000
2435,25770,KICC,106102,Telecommunications,37444271,19406371500,500
552,25820,LEEKU IND,32402,Manufacture of Basic Precious and Non-ferrous Metals,33442000,16721000000,500
189,25860,NAMHAE CHEM,32003,Manufacture of Fertilizers Pesticides Germicides and Insecticides,49678843,49678843000,1000
1515,25870,SILLA SG,74603,Wholesale of Food Beverages and Tobaccos,4000000,2000000000,500
2161,25880,KC FEED,31008,Manufacture of Livestock Feeds and Prepared Animal Feeds,16715858,8357929000,500
725,25890,HANKOOK STEEL,32902,Manufacture of Special-Purpose Machinery,11309259,5654629500,500
1142,25900,DONGWHA ENTERPRISE,31602,Manufacture of Wood Products,20215395,10607697500,500
1129,25950,DongshinE&amp;C,64102,Heavy Construction,8400000,4200000000,500
1567,25980,Ananti,95501,General Accommodation and Accommodation with Cooking Facilities,91131365,9113136500,100
2074,26040,J.ESTINA,33301,Manufacture of Precious Metals and Ornamentations,16503790,8684795000,500
2277,26150,TSConstruct,64102,Heavy Construction,17546331,8773165500,500
436,26890,STIC Investments,116402,Trust and collective Investment Businesses,41678175,20839087500,500
975,26910,KwangjinInd,32401,Manufacture of Basic Iron and Steel,6405405,3202702500,500
345,26940,Bookook Steel,32401,Manufacture of Basic Iron and Steel,20000000,10000000000,500
256,26960,DONGSUH,74603,Wholesale of Food Beverages and Tobaccos,99700000,49850000000,500
1419,27040,SET,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,69588847,34794423500,500
2191,27050,COREANA,32004,Manufacture of Other Chemical Products,40000000,20000000000,500
1614,27360,AJU IB INVESTMENT,116409,Other Financial Intermediation,120822956,60411478000,500
3,27410,BGF,116409,Other Financial Intermediation,95716791,95716791000,1000
1395,27580,SBK,32202,Manufacture of Plastic Products,59181279,29590639500,500
2324,27710,FarmStory,31008,Manufacture of Livestock Feeds and Prepared Animal Feeds,111416600,57508629000,500
305,27740,MANIKER,31001,Slaughtering of Livestock Processing Preserving of Meat and Meat Products,63511228,31755614000,500
1080,27830,Daesung PE,116402,Trust and collective Investment Businesses,54000000,27000000000,500
723,27970,Hankuk Paper,31701,Manufacture of Pulp Paper and Paperboard,190178237,190178237000,1000
366,28050,SAMSUNG ENG,137201,Architectural Engineering and Related Technical Services,196000000,980000000000,5000
2499,28080,HUMAX Holdings,106201,Computer programming System Integration and Management Services,12577506,6288753000,500
261,28100,Dong Ah E&amp;C,64201,Site Preparation and Special Trade Construction for Civil Engineering and Buildings,14052646,7026323000,500
362,28260,SAMSUNG C&amp;T,74607,Other Specialized Wholesale,185591670,18721909500,100
872,28300,HLB,32103,Manufacture of Medical Supplies and Related Other Medicaments,128929651,64464825500,500
687,28670,PanOcean,85001,Sea and Coastal Water Transport,534569512,534569512000,1000
632,29460,KC,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,13554044,6777022000,500
974,29480,Kwangmu,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,47887891,23943945500,500
440,29530,SINDOH,32603,Manufacture of Computers and Peripheral Equipment,10080029,50400145000,5000
373,29780,SAMSUNG CARD,116409,Other Financial Intermediation,115858891,614794455000,5000
2209,29960,KOENTEC,53802,Waste Treatment Services,50000000,25000000000,500
594,30000,Cheil Worldwide,137103,Advertising,115041225,23008245000,200
98,30190,NICE INFO,106309,Other Information Service Activities,60714820,30357410000,500
639,30200,KT,106102,Telecommunications,257860760,1564498835000,5000
201,30210,Daol SEC,116601,Activities Auxiliary to Financial Service Activities,60911106,304555530000,5000
1145,30350,Dragonfly,105802,Software Development and Supply,69388973,34694486500,500
2444,30520,HANCOM INC.,105802,Software Development and Supply,24179744,13465674000,500
1883,30530,WONIK HOLDINGS,32902,Manufacture of Special-Purpose Machinery,77237981,38618990500,500
164,30610,KYOBO SECURITIES,116601,Activities Auxiliary to Financial Service Activities,113962961,569814805000,5000
271,30720,DONGWON FISH,10301,Fishing and Gathering of Marine Materials,4653805,23269025000,5000
351,30790,BK TOPS,106201,Computer programming System Integration and Management Services,21248145,10624072500,500
1652,30960,Yangjisa,31801,Printing and Service Activities Related to Printing,15980000,7990000000,500
1602,31310,EYESVISION,106102,Telecommunications,17481926,8740963000,500
1671,31330,SAMT,74605,Wholesale of Machinery Equipment and Supplies,99995067,49997533500,500
447,31430,SHINSEGAE INTERNATIONAL,74704,Retail Sale of Textiles Clothing Footwear and Leather Goods,35700000,35700000000,1000
448,31440,SF,95601,Restaurants Bars and Canteens,3872480,19362400000,5000
1821,31510,AUSTEM,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),28000000,14000000000,500
658,31820,COMTEC,106201,Computer programming System Integration and Management Services,121051466,60525733000,500
1680,31860,SU-Holdings,74608,Wholesale of Non-Specialized Goods,118794565,59397282500,500
2374,31980,PSK HOLDINGS,32902,Manufacture of Special-Purpose Machinery,21562395,10781197500,500
1615,32080,AZTECHWB,31304,Dyeing and Finishing Textiles,21491029,10745514500,500
1067,32190,DAOU DATA,74605,Wholesale of Machinery Equipment and Supplies,38300000,19150000000,500
1385,32280,SamIl,84903,Road Freight Transport,16213590,16213590000,1000
2442,32300,KOREA PHARMA,32102,Manufacture of Medicaments,10906701,5453350500,500
292,32350,LOTTE TOUR,147502,Activities of Travel Agencies and Tour Operators and Tourist Assistance Activities,75570798,37785399000,500
2170,32500,KMW,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,39820883,19910441500,500
943,32540,TJ MEDIA,32605,Manufacture of Electronic Video and Audio Equipment,13931609,6965804500,500
825,32560,HwangKum S&amp;T,32402,Manufacture of Basic Precious and Non-ferrous Metals,17000000,8500000000,500
2369,32580,Fidelix,32601,Manufacture of Semiconductor,33132064,16566032000,500
1930,32620,UBCARE,105802,Software Development and Supply,52197139,26098569500,500
79,32640,LG Uplus,106102,Telecommunications,436611361,2573969175000,5000
1472,32680,SOFTCEN,106309,Other Information Service Activities,105590764,21189581200,200
1388,32750,Samjin,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,8063866,4031933000,500
1791,32790,MGEN,74605,Wholesale of Machinery Equipment and Supplies,31756563,15878281500,500
2322,32800,Fantagio,189001,Creative and Arts Related Services,117785294,11778529400,100
1859,32820,WooriTG Inc.,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,151928022,75964011000,500
364,32830,SAMSUNG LIFE,116501,Insurance,200000000,100000000000,500
1359,32850,BITComputer,105802,Software Development and Supply,16623293,8311646500,500
1108,32860,The Lamy,53803,Dismantling and Sorting Recoverable Materials; Materials Recovery,39364938,19682469000,500
1877,32940,WonIk,74605,Wholesale of Machinery Equipment and Supplies,18193230,9096615000,500
1139,32960,DongilTech,32602,Manufacture of Electronic Components,3806489,5153244500,500
1301,32980,BYON,74603,Wholesale of Food Beverages and Tobaccos,37993324,18996662000,500
2077,33050,JMI,31802,Reproduction of Recorded Media,32579342,32579342000,1000
2064,33100,CheryongElec,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,16062409,8031204500,500
1174,33130,DChosun,106301,Data Processing Hosting and Related activities; Web Portals,37115267,18557633500,500
1792,33160,MKElectron,32602,Manufacture of Electronic Components,22066331,11033165500,500
1504,33170,Signetics,32601,Manufacture of Semiconductor,85728319,42864159500,500
65,33180,KH FEELUX,32602,Manufacture of Electronic Components,63570886,31935443000,500
1266,33200,MOATECH,32602,Manufacture of Electronic Components,14331185,7665592500,500
2015,33230,INSUNG,106201,Computer programming System Integration and Management Services,39215380,19607690000,500
589,33240,JAHWA ELEC,32602,Manufacture of Electronic Components,22090778,11045389000,500
625,33250,CHASYS,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),32000000,16000000000,500
535,33270,KUP,32102,Manufacture of Medicaments,16244822,8122411000,500
2212,33290,COWELL F/S,74704,Retail Sale of Textiles Clothing Footwear and Leather Goods,88500234,46532198500,500
1794,33310,M2N,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,40342231,20171115500,500
2071,33320,JCH Systems,74605,Wholesale of Machinery Equipment and Supplies,19114432,9557216000,500
2093,33340,GOODPEOPLE,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,96950558,48475279000,500
1128,33500,DONGSUNG FINETEC,32001,Manufacture of Basic Chemicals,29989494,15324747000,500
428,33530,SEJONG IND. CO.LTD,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),27820961,13910480500,500
2302,33540,Paratech,32902,Manufacture of Special-Purpose Machinery,73175379,14635075800,200
1335,33560,BLUECOM,32605,Manufacture of Electronic Video and Audio Equipment,17100000,9600000000,500
1036,33640,NEPES,32601,Manufacture of Semiconductor,23059202,11629601000,500
641,33780,KT&amp;G,31201,Manufacture of Tobacco Products,137292497,954959485000,5000
1492,33790,Skymoons Technology,105802,Software Development and Supply,17117100,8558550000,500
2280,33830,TBC,106002,Television Broadcasting,100000000,50000000000,500
320,33920,Muhak,31101,Manufacture of Alcoholic Beverages,28500000,5700000000,200
280,34020,Doosan Enerbility,32901,Manufacture of General Purpose Machinery,640561146,3202805730000,5000
105,34120,SBS,106002,Television Broadcasting,18252582,91262910000,5000
76,34220,LG Display,32602,Manufacture of Electronic Components,357815700,1789078500000,5000
2301,34230,Paradise,189102,Amusement and theme Park Operation,91759075,47440556500,500
446,34300,Shinsegae E&amp;C,64101,Building Construction,4000000,20000000000,5000
97,34310,NICE,137105,Activities of Head Offices Management Consultancy Activities,37882300,18941150000,500
571,34590,INCHON CITY GAS,43502,Manufacture of Gas Distribution of Gaseous Fuel Through Mains,4374754,21873770000,5000
112,34730,SK,116409,Other Financial Intermediation,73198329,16143092800,200
2467,34810,HaeSung,116409,Other Financial Intermediation,32556857,16972889500,500
732,34830,KOREIT,116402,Trust and collective Investment Businesses,252489230,252489230000,1000
2091,34940,ChoA Pharm.,32102,Manufacture of Medicaments,30979827,15489913500,500
2424,34950,KR,147509,Other Business Support Services,4540514,24452570000,5000
52,35000,HS Ad,137105,Activities of Head Offices Management Consultancy Activities,16567409,17571493000,1000
987,35080,Gradiant,74709,Retail Sale not in Stores,15527584,41765626500,2500
337,35150,BAIKSAN,32202,Manufacture of Plastic Products,22500000,14107500000,500
2354,35200,PLUMB FAST,32202,Manufacture of Plastic Products,9730590,4865295000,500
145,35250,Kangwon Land Inc.,189102,Amusement and theme Park Operation,213940500,106970250000,500
968,35290,Gold&amp;S,105801,Publishing of Books Magazines and Other Publications,46450564,23225282000,500
93,35420,NAVER,106301,Data Processing Hosting and Related activities; Web Portals,164049085,16481339500,100
999,35460,KisanTelecom,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,14577340,7288670000,500
445,35510,SHINSEGAE I&amp;C,106201,Computer programming System Integration and Management Services,17200000,8600000000,500
901,35600,KGINICIS,105802,Software Development and Supply,27904434,13952217000,500
1476,35610,SOLBORN,137105,Activities of Head Offices Management Consultancy Activities,27345997,13672998500,500
1289,35620,Barunson E&amp;A,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,74439675,37219837500,500
626,35720,Kakao,106301,Data Processing Hosting and Related activities; Web Portals,444421032,44492103200,100
846,35760,CJ ENM,106002,Television Broadcasting,21929154,110577370000,5000
2002,35810,EasyHoldings,31008,Manufacture of Livestock Feeds and Prepared Animal Feeds,65145845,32948862000,500
1428,35890,SEOHEE CONSTRUCTION,64101,Building Construction,229808457,114904228500,500
890,35900,JYP Ent.,105902,Audio Publishing and Original Master Recordings,35502492,17945951500,500
1801,36000,YeaRimDang,105801,Publishing of Books Magazines and Other Publications,23034277,11617138500,500
1576,36010,ABEL,32602,Manufacture of Electronic Components,13292934,6896467000,500
2173,36030,kt alpha,74601,Wholesale on a Fee or Contract Basis,49019283,49019283000,1000
1911,36090,WIZIT,32902,Manufacture of Special-Purpose Machinery,102976202,51488101000,500
927,36120,SCI,106309,Other Information Service Activities,35500000,17750000000,500
2240,36170,Cloud Air,32601,Manufacture of Semiconductor,61365626,61365626000,1000
2105,36180,GWV,74605,Wholesale of Machinery Equipment and Supplies,62552961,31276480500,500
996,36190,GEUMHWA PSC,64203,Electrical and Communication Works,6000000,3000000000,500
1919,36200,UNISEM,32902,Manufacture of Special-Purpose Machinery,30664223,15332111500,500
657,36420,ContentreeJoongAng,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,19262308,96311540000,5000
710,36460,Kogas,43502,Manufacture of Gas Distribution of Gaseous Fuel Through Mains,92313000,461565000000,5000
1079,36480,DSMBIO,32102,Manufacture of Medicaments,3800000,1900000000,500
132,36530,SNT Holdings,116409,Other Financial Intermediation,16303886,8351943000,500
929,36540,SFASemicon,32601,Manufacture of Semiconductor,164460303,82487451500,500
1799,36560,YPPC,32901,Manufacture of General Purpose Machinery,15750000,7875000000,500
501,36570,NCsoft Corporation,105802,Software Development and Supply,21954022,10977011000,500
685,36580,FARMSCO,31006,Manufacture of Grain Mill Products Starches and Starch Products,36727943,18363971500,500
955,36620,GAMSUNG Corp.,74607,Other Specialized Wholesale,90393576,45196788000,500
1451,36630,SEJONG TELECOM,106102,Telecommunications,220000000,230000000000,1000
880,36640,HRS,32002,Manufacture of Plastics and Synethetic Rubber in Primary forms,16354800,8177400000,500
897,36670,KCI,32004,Manufacture of Other Chemical Products,11270000,5635000000,500
2194,36690,COMMAX,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,15904938,7952469000,500
1536,36710,SIMMTECH HOLDINGS,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,48350145,24175072500,500
1018,36800,NICEI&amp;T,106102,Telecommunications,10000000,5000000000,500
1736,36810,FINE SEMITECH,32602,Manufacture of Electronic Components,21756789,10878394500,500
1478,36830,Soulbrain Holdings,137105,Activities of Head Offices Management Consultancy Activities,20964056,10482028000,500
2123,36890,JINSUNG,32902,Manufacture of Special-Purpose Machinery,22482268,11241134000,500
2094,36930,JEL,32902,Manufacture of Special-Purpose Machinery,48249212,24124606000,500
2310,37030,POWERNET,32801,Manufacture of Electric Motors Generators and Transforming Distributing and Controlling Apparatus of Electricity,19522052,19522052000,1000
2308,37070,PASECO,32805,Manufacture of Domestic Appliances,20000000,10000000000,500
2443,37230,HKPAK,31702,Manufacture of Corrugated Cardboard Paper Boxes and Paper Containers,29800327,14900163500,500
142,37270,YGP,106301,Data Processing Hosting and Related activities; Web Portals,63429410,32339705000,500
2017,37330,INZI DISPLAY,32602,Manufacture of Electronic Components,43885224,21942612000,500
1435,37350,SUNGDO ENG,137201,Architectural Engineering and Related Technical Services,15470000,7735000000,500
863,37370,EG,32001,Manufacture of Basic Chemicals,8624972,8624972000,1000
1867,37400,WOOREE ENTERPRISE,74608,Wholesale of Non-Specialized Goods,26223346,13111673000,500
2510,37440,HEERIM,137201,Architectural Engineering and Related Technical Services,13922475,6961237500,500
1387,37460,SAMJI ELECT,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,16318522,8309261000,500
82,37560,LG HelloVision,106002,Television Broadcasting,77446865,193617162500,2500
163,37710,Gwangju Shinsegae,74701,Retail Sale in Non-Specialized Stores,7957190,7957190000,1000
1543,37760,CENIT,32401,Manufacture of Basic Iron and Steel,33832921,16916460500,500
1780,37950,ELCOMTEC,32602,Manufacture of Electronic Components,84447519,42223759500,500
2083,38010,JEIL TECHNOS,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,9000000,4500000000,500
1211,38060,LUMENS,32601,Manufacture of Semiconductor,48103069,24051534500,500
1410,38070,SeouLin,74607,Other Specialized Wholesale,8700676,4350338000,500
1733,38110,ECOPLASTIC,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),34169370,17084685000,500
1231,38290,Macrogen,137309,Other Professional Scientific and Technical Services n.e.c.,10841400,5420700000,500
913,38340,MIT,32602,Manufacture of Electronic Components,26484298,13292149000,500
1197,38390,RedcapTour,147502,Activities of Travel Agencies and Tour Operators and Tourist Assistance Activities,8589480,4294740000,500
1296,38460,BioSmart,32602,Manufacture of Electronic Components,20816995,10408497500,500
1392,38500,SAMPYO Cement,32309,Manufacture of Other Non-metallic Mineral Products,107916306,53958153000,500
2154,38530,KBIO,74604,Wholesale of Household Goods,115714347,11571434700,100
1396,38540,Sangsangin,106201,Computer programming System Integration and Management Services,55328313,57187237000,1000
1909,38620,WIZ,74707,Retail Sale of Fuel,66546465,33273232500,500
1658,38680,SNET,106201,Computer programming System Integration and Management Services,18432874,9216437000,500
1726,38870,EcoBio Holdings,147401,Combined Facilities Support Activities,13571710,6785855000,500
1596,38880,iA,32602,Manufacture of Electronic Components,294769150,29476915000,100
2315,38950,FINEDIGITAL,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,10210765,5105382500,500
2480,39010,HYUNDAI HT,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,8625000,4312500000,500
1959,39020,EAGON HOLDINGS,31601,Sawmilling and Planing of Wood,22584709,22584709000,1000
1995,39030,EO Technics,32902,Manufacture of Special-Purpose Machinery,12319550,6159775000,500
703,39130,HANATOUR SERVICE,147502,Activities of Travel Agencies and Tour Operators and Tourist Assistance Activities,16039185,8019592500,500
1819,39200,OCT Inc.,32102,Manufacture of Medicaments,37983958,18991979000,500
959,39240,K-Steel,32401,Manufacture of Basic Iron and Steel,26979604,2697960400,100
2032,39290,InfoBank,106309,Other Information Service Activities,8693978,4346989000,500
1452,39310,SEJOONG,105802,Software Development and Supply,18121667,9060833500,500
2423,39340,Korea Economic Broadcasting,106002,Television Broadcasting,23000000,11500000000,500
2168,39420,KL-Net,106102,Telecommunications,24154730,12077365000,500
1686,39440,STI,32902,Manufacture of Special-Purpose Machinery,15830000,7915000000,500
665,39490,KIWOOM,116601,Activities Auxiliary to Financial Service Activities,26226706,131133530000,5000
1065,39560,DASANNetwork,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,39505981,20981453000,500
